Lapangan Pekerjaan Utama,Year,Employment
Transportasi dan Pergudangan,2019,5290506.0
Penyediaan Akomodasi dan Penyediaan Makan Minum,2019,8894194.0
Informasi dan Komunikasi,2019,951756.0
Jasa Keuangan dan Asuransi,2019,1810255.0
Jasa Perusahaan,2019,1706268.0
"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",2019,5239129.0
Jasa Kesehatan dan Kegiatan Sosial,2019,2016514.0
Jasa Lainnya,2019,6419926.0
"Pertanian, Kehutanan dan Perikanan",2020,38956801.0
Industri Pengolahan,2020,18709441.0
"Pengadaan Listrik, Gas, Uap/Air Panas dan Udara Dingin",2020,343830.0
"Pengadaan Air, Pengelolaan Sampah dan Daur Ulang, Pembuangan dan Pembersihan Limbah dan Sampah",2020,463359.0
Konstruksi,2020,8116426.0
Perdagangan Besar Dan Eceran; Reparasi dan Perawatan Mobil dan Sepeda Motor,2020,24773768.0
Transportasi dan Pergudangan,2020,5509153.0
Penyediaan Akomodasi dan Penyediaan Makan Minum,2020,9059188.0
Informasi dan Komunikasi,2020,962935.0
Jasa Keuangan dan Asuransi,2020,1819735.0
Jasa Perusahaan,2020,1824699.0
"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",2020,5435306.0
Jasa Kesehatan dan Kegiatan Sosial,2020,2219080.0
Jasa Lainnya,2020,6219537.0
"Pertanian, Kehutanan dan Perikanan",2021,38777600.0
Industri Pengolahan,2021,17823568.0
"Pengadaan Listrik, Gas, Uap/Air Panas dan Udara Dingin",2021,274622.0
"Pengadaan Air, Pengelolaan Sampah dan Daur Ulang, Pembuangan dan Pembersihan Limbah dan Sampah",2021,498535.0
Konstruksi,2021,7929651.0
Perdagangan Besar Dan Eceran; Reparasi dan Perawatan Mobil dan Sepeda Motor,2021,25161613.0
Transportasi dan Pergudangan,2021,5307649.0
Penyediaan Akomodasi dan Penyediaan Makan Minum,2021,9167542.0
Informasi dan Komunikasi,2021,1083471.0
Jasa Keuangan dan Asuransi,2021,1513576.0
Jasa Perusahaan,2021,1891659.0
"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",2021,4657639.0
Jasa Kesehatan dan Kegiatan Sosial,2021,2307668.0
Jasa Lainnya,2021,6356738.0
"Pertanian, Kehutanan dan Perikanan",2022,40635997.0
Industri Pengolahan,2022,18671926.0
"Pengadaan Listrik, Gas, Uap/Air Panas dan Udara Dingin",2022,309484.0
"Pengadaan Air, Pengelolaan Sampah dan Daur Ulang, Pembuangan dan Pembersihan Limbah dan Sampah",2022,534247.0
Konstruksi,2022,8188425.0
Perdagangan Besar Dan Eceran; Reparasi dan Perawatan Mobil dan Sepeda Motor,2022,25800553.0
Transportasi dan Pergudangan,2022,5710510.0
Penyediaan Akomodasi dan Penyediaan Makan Minum,2022,9635433.0
Informasi dan Komunikasi,2022,1097558.0
Jasa Keuangan dan Asuransi,2022,1512007.0
Jasa Perusahaan,2022,1940203.0
"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",2022,4633405.0
Jasa Kesehatan dan Kegiatan Sosial,2022,2384745.0
Jasa Lainnya,2022,5892267.0
"Pertanian, Kehutanan dan Perikanan",2023,40694572.0
Industri Pengolahan,2023,18829997.0
"Pengadaan Listrik, Gas, Uap/Air Panas dan Udara Dingin",2023,357148.0
"Pengadaan Air, Pengelolaan Sampah dan Daur Ulang, Pembuangan dan Pembersihan Limbah dan Sampah",2023,568604.0
Konstruksi,2023,8605748.0
Perdagangan Besar Dan Eceran; Reparasi dan Perawatan Mobil dan Sepeda Motor,2023,2623881.0
Transportasi dan Pergudangan,2023,5835171.0
Penyediaan Akomodasi dan Penyediaan Makan Minum,2023,10146818.0
Informasi dan Komunikasi,2023,1192482.0
Jasa Keuangan dan Asuransi,2023,1600153.0
Jasa Perusahaan,2023,2057271.0
"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",2023,4715229.0
Jasa Kesehatan dan Kegiatan Sosial,2023,2476565.0
Jasa Lainnya,2023,6403675.0
"Pertanian, Kehutanan dan Perikanan",2024,40720959.0
Industri Pengolahan,2024,18880391.0
"Pengadaan Listrik, Gas, Uap/Air Panas dan Udara Dingin",2024,360997.0
"Pengadaan Air, Pengelolaan Sampah dan Daur Ulang, Pembuangan dan Pembersihan Limbah dan Sampah",2024,575441.0
Konstruksi,2024,8645266.0
Perdagangan Besar Dan Eceran; Reparasi dan Perawatan Mobil dan Sepeda Motor,2024,27085695.0
Transportasi dan Pergudangan,2024,5900351.0
Penyediaan Akomodasi dan Penyediaan Makan Minum,2024,11108827.0
Informasi dan Komunikasi,2024,1230780.0
Jasa Keuangan dan Asuransi,2024,1638487.0
Jasa Perusahaan,2024,2214743.0
"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",2024,5465768.0
Jasa Kesehatan dan Kegiatan Sosial,2024,2497559.0
Jasa Lainnya,2024,6412119.0
